,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
2,TRANSFER,181.0,181.0,0.0,0.0,0.0,1
3,CASH_OUT,181.0,181.0,0.0,21182.0,0.0,1
251,TRANSFER,2806.0,2806.0,0.0,0.0,0.0,1
252,CASH_OUT,2806.0,2806.0,0.0,26202.0,0.0,1
320,PAYMENT,14420.66,0.0,0.0,0.0,0.0,0
463,CASH_IN,222711.47,2419068.96,2641780.43,16651492.34,19169204.93,0
579,PAYMENT,9491.89,0.0,0.0,0.0,0.0,0
680,TRANSFER,20128.0,20128.0,0.0,0.0,0.0,1
681,CASH_OUT,20128.0,20128.0,0.0,6268.0,12145.85,1
684,PAYMENT,6490.17,548504.0,542013.83,0.0,0.0,0
724,CASH_OUT,416001.33,0.0,0.0,102.0,9291619.62,1
921,TRANSFER,47477.97,6066.0,0.0,144658.38,15375.37,0
969,TRANSFER,1277212.77,1277212.77,0.0,0.0,0.0,1
970,CASH_OUT,1277212.77,1277212.77,0.0,0.0,2444985.19,1
1115,TRANSFER,35063.63,35063.63,0.0,0.0,0.0,1
1116,CASH_OUT,35063.63,35063.63,0.0,31140.0,7550.03,1
1869,TRANSFER,25071.46,25071.46,0.0,0.0,0.0,1
1870,CASH_OUT,25071.46,25071.46,0.0,9083.76,34155.22,1
1911,CASH_OUT,132842.64,4499.08,0.0,0.0,132842.64,1
2099,PAYMENT,7577.43,0.0,0.0,0.0,0.0,0
2301,TRANSFER,235238.66,235238.66,0.0,0.0,0.0,1
2302,CASH_OUT,235238.66,235238.66,0.0,0.0,235238.66,1
2422,PAYMENT,4351.58,0.0,0.0,0.0,0.0,0
2669,CASH_IN,61546.97,3539865.55,3601412.53,217862.21,8722.97,0
3059,TRANSFER,1096187.24,1096187.24,0.0,0.0,0.0,1
3060,CASH_OUT,1096187.24,1096187.24,0.0,0.0,1096187.24,1
3162,TRANSFER,963532.14,963532.14,0.0,0.0,0.0,1
3163,CASH_OUT,963532.14,963532.14,0.0,132382.57,1095914.71,1
3271,TRANSFER,14949.84,14949.84,0.0,0.0,0.0,1
